{'loss': 0.1614, 'grad_norm': 14.914200782775879, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.5089, 'grad_norm': 18.65605926513672, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3541, 'grad_norm': 13.281643867492676, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.505, 'grad_norm': 24.602245330810547, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2302, 'grad_norm': 11.635977745056152, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.353, 'grad_norm': 24.92487144470215, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6204, 'grad_norm': 42.218570709228516, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3125, 'grad_norm': 22.234172821044922, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4285, 'grad_norm': 41.79275131225586, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4808, 'grad_norm': 29.27817726135254, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2503, 'grad_norm': 21.119892120361328, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0863, 'grad_norm': 4.928212642669678, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.485, 'grad_norm': 20.749801635742188, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1317, 'grad_norm': 15.44284725189209, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.5238, 'grad_norm': 46.764671325683594, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1795, 'grad_norm': 11.679320335388184, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2384, 'grad_norm': 15.556381225585938, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1199, 'grad_norm': 12.968120574951172, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.179, 'grad_norm': 18.02077293395996, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3268, 'grad_norm': 24.138944625854492, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1955, 'grad_norm': 11.218420028686523, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1881, 'grad_norm': 15.638838768005371, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0246, 'grad_norm': 3.359342098236084, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3901, 'grad_norm': 15.866182327270508, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2523, 'grad_norm': 22.339603424072266, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3829, 'grad_norm': 44.95261764526367, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3616, 'grad_norm': 19.32560157775879, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3104, 'grad_norm': 13.375569343566895, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4978, 'grad_norm': 21.779415130615234, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2365, 'grad_norm': 23.21319007873535, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2025, 'grad_norm': 22.986478805541992, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2086, 'grad_norm': 22.28842544555664, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1942, 'grad_norm': 23.019075393676758, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1228, 'grad_norm': 6.724148273468018, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0934, 'grad_norm': 9.721648216247559, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1152, 'grad_norm': 15.390734672546387, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4213, 'grad_norm': 29.63488006591797, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1908, 'grad_norm': 15.24278736114502, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.191, 'grad_norm': 11.8379487991333, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2057, 'grad_norm': 14.420528411865234, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0567, 'grad_norm': 6.920036315917969, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3577, 'grad_norm': 18.80683708190918, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0734, 'grad_norm': 10.97158432006836, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3987, 'grad_norm': 24.833642959594727, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2516, 'grad_norm': 13.877201080322266, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6605, 'grad_norm': 39.18656539916992, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2949, 'grad_norm': 17.96047592163086, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1415, 'grad_norm': 9.152512550354004, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0982, 'grad_norm': 17.02383804321289, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1613, 'grad_norm': 19.72868537902832, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2885, 'grad_norm': 14.69689655303955, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3946, 'grad_norm': 21.904056549072266, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1764, 'grad_norm': 17.159399032592773, 'learning_rate': 1e-06, 'epoch': 0.03}
